bin_size,layer_count,cycle_count,parallel_ops
4,0,545892,0.0
16,0,545892,0.0
32,0,545892,0.0
4,0,340015,0.0
16,0,340015,0.0
32,0,340015,0.0
64,0,340015,0.0
128,0,340015,0.0
4,0,384,0.0
4,0,73314,0.0
16,0,73314,0.0
32,0,73314,0.0
64,0,73314,0.0
4,0,123706,0.0
16,0,123706,0.0
32,0,123706,0.0
64,0,123706,0.0
128,0,123706,0.0
256,0,123706,0.0
4,0,143907,0.0
16,0,143907,0.0
4,0,134834,0.0
16,0,134834,0.0
32,0,134834,0.0
64,0,134834,0.0
128,0,134834,0.0
256,0,134834,0.0
4,0,1116301,0.0
16,0,1116301,0.0
32,0,1116301,0.0
64,0,1116301,0.0
128,0,1116301,0.0
256,0,1116301,0.0
4,0,2089,0.0
16,0,2089,0.0
32,0,2089,0.0
64,0,2089,0.0
128,0,2089,0.0
256,0,2089,0.0
4,0,497969,0.0
16,0,497969,0.0
32,0,497969,0.0
64,0,497969,0.0
128,0,497969,0.0
4,0,2103,0.0
16,0,2103,0.0
32,0,2103,0.0
64,0,2103,0.0
128,0,2103,0.0
256,0,2103,0.0
4,0,272883,0.0
16,0,272883,0.0
32,0,272883,0.0
64,0,272883,0.0
4,0,167738,0.0
16,0,167738,0.0
32,0,167738,0.0
64,0,167738,0.0
128,0,167738,0.0
256,0,167738,0.0
