benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
logsum_ad_pure,512,8751,1250,10001,0,0,0,1250,1344,2594,61368,138522,199890,130.4,62.1,83.1,11250,5.6
logsum_ad_total,512,8751,1250,10001,16256,3746,20002,1250,5090,6340,61368,138522,199890,130.4,235.2,203.0,11250,5.6
logsum_ad_pure,1024,8751,1250,10001,0,0,0,1250,1344,2594,61368,138522,199890,130.4,62.1,83.1,11250,5.6
logsum_ad_total,1024,8751,1250,10001,16256,3746,20002,1250,5090,6340,61368,138522,199890,130.4,235.2,203.0,11250,5.6
logsum_ad_pure,2048,8751,1250,10001,0,0,0,1250,1344,2594,61368,138522,199890,130.4,62.1,83.1,11250,5.6
logsum_ad_total,2048,8751,1250,10001,16258,3744,20002,1250,5088,6338,61368,138522,199890,130.4,235.1,202.9,11250,5.6
logsum_ad_pure,4096,8751,1250,10001,0,0,0,1250,1344,2594,61368,138522,199890,130.4,62.1,83.1,11250,5.6
logsum_ad_total,4096,8751,1250,10001,16263,3739,20002,1250,5083,6333,61368,138522,199890,130.4,234.9,202.8,11250,5.6
logsum_ad_pure,8192,8751,1250,10001,0,0,0,1250,1344,2594,61368,138130,199498,130.4,62.3,83.2,11250,5.6
logsum_ad_total,8192,8751,1250,10001,16321,3681,20002,1250,5025,6275,61368,138130,199498,130.4,232.8,201.3,11250,5.6
logsum_ad_pure,16384,8751,1250,10001,0,0,0,1250,1344,2594,61368,126902,188270,130.4,67.8,88.2,11250,6.0
logsum_ad_total,16384,8751,1250,10001,17503,2499,20002,1250,3843,5093,61368,126902,188270,130.4,193.8,173.1,11250,6.0
logsum_ad_pure,32768,8751,1250,10001,0,0,0,1250,1344,2594,61368,126902,188270,130.4,67.8,88.2,11250,6.0
logsum_ad_total,32768,8751,1250,10001,17503,2499,20002,1250,3843,5093,61368,126902,188270,130.4,193.8,173.1,11250,6.0
logsum_ad_pure,65536,8751,1250,10001,0,0,0,1250,1344,2594,61368,126902,188270,130.4,67.8,88.2,11250,6.0
logsum_ad_total,65536,8751,1250,10001,17503,2499,20002,1250,3843,5093,61368,126902,188270,130.4,193.8,173.1,11250,6.0
logsum_ad_pure,131072,8751,1250,10001,0,0,0,1250,1344,2594,61368,126902,188270,130.4,67.8,88.2,11250,6.0
logsum_ad_total,131072,8751,1250,10001,17503,2499,20002,1250,3843,5093,61368,126902,188270,130.4,193.8,173.1,11250,6.0
logsum_orig_pure,512,8595,2656,11251,24998,6254,31252,2656,2508,5164,62197,161969,224166,273.3,99.1,147.4,0,0.0
logsum_orig_total,512,8595,2656,11251,24998,6254,31252,2656,6254,8910,62197,161969,224166,273.3,247.1,254.4,0,0.0
logsum_orig_pure,1024,8595,2656,11251,24996,6256,31252,2656,2510,5166,62197,161969,224166,273.3,99.2,147.5,0,0.0
logsum_orig_total,1024,8595,2656,11251,24996,6256,31252,2656,6256,8912,62197,161969,224166,273.3,247.2,254.5,0,0.0
logsum_orig_pure,2048,8595,2656,11251,25000,6252,31252,2656,2508,5164,62197,161969,224166,273.3,99.1,147.4,0,0.0
logsum_orig_total,2048,8595,2656,11251,25000,6252,31252,2656,6252,8908,62197,161969,224166,273.3,247.1,254.3,0,0.0
logsum_orig_pure,4096,8595,2656,11251,25004,6248,31252,2656,2509,5165,62197,161969,224166,273.3,99.1,147.5,0,0.0
logsum_orig_total,4096,8595,2656,11251,25004,6248,31252,2656,6248,8904,62197,161969,224166,273.3,246.9,254.2,0,0.0
logsum_orig_pure,8192,8595,2656,11251,25095,6157,31252,2656,2476,5132,62197,161591,223788,273.3,98.1,146.8,0,0.0
logsum_orig_total,8192,8595,2656,11251,25095,6157,31252,2656,6157,8813,62197,161591,223788,273.3,243.9,252.1,0,0.0
logsum_orig_pure,16384,8595,2656,11251,25317,5935,31252,2656,3436,6092,62197,160219,222416,273.3,137.3,175.3,0,0.0
logsum_orig_total,16384,8595,2656,11251,25317,5935,31252,2656,5935,8591,62197,160219,222416,273.3,237.1,247.2,0,0.0
logsum_orig_pure,32768,8595,2656,11251,26605,4647,31252,2656,2148,4804,62197,148907,211104,273.3,92.3,145.7,0,0.0
logsum_orig_total,32768,8595,2656,11251,26605,4647,31252,2656,4647,7303,62197,148907,211104,273.3,199.8,221.4,0,0.0
logsum_orig_pure,65536,8595,2656,11251,27030,4222,31252,2656,1723,4379,62197,147339,209536,273.3,74.8,133.8,0,0.0
logsum_orig_total,65536,8595,2656,11251,27030,4222,31252,2656,4222,6878,62197,147339,209536,273.3,183.4,210.1,0,0.0
logsum_orig_pure,131072,8595,2656,11251,28003,3249,31252,2656,750,3406,62197,143839,206036,273.3,33.4,105.8,0,0.0
logsum_orig_total,131072,8595,2656,11251,28003,3249,31252,2656,3249,5905,62197,143839,206036,273.3,144.6,183.4,0,0.0

